Algorithm Iterations WinRatio
MCTS 200 0.4
MCTS 400 0.42
MCTS 600 0.44
MCTS 800 0.44
MCTS 1000 0.46
MCTS 1200 0.46
MCTS 1400 0.48
MCTS 1600 0.48
MCTS 1800 0.5
MCTS 2000 0.5
MCTS 2200 0.52
MCTS 2400 0.52
MCTS 2600 0.54
MCTS 2800 0.54
MCTS 3000 0.56
MCTS 3200 0.56
MCTS 3400 0.56
MCTS 3600 0.52
MCTS 3800 0.52
MCTS 4000 0.54
MCTS 4200 0.54
MCTS 4400 0.54
MCTS 4600 0.56
MCTS 4800 0.56
MCTS 5000 0.54
MCTS 5200 0.54
MCTS 5400 0.58
MCTS 5600 0.56
MCTS 5800 0.56
MCTS 6000 0.58
MCTS 6200 0.58
MCTS 6400 0.6
MCTS 6600 0.62
MCTS 6800 0.6
MCTS 7000 0.56
MCTS 7200 0.6
MCTS 7400 0.62
MCTS 7600 0.64
MCTS 7800 0.6
MCTS 8000 0.6
MCTS 8200 0.6
MCTS 8400 0.62
MCTS 8600 0.62
MCTS 8800 0.64
MCTS 9000 0.62
MCTS 9200 0.58
MCTS 9400 0.62
MCTS 9600 0.6
MCTS 9800 0.62
MCTS 10000 0.6
MCTSwSavebridge 200 0.72
MCTSwSavebridge 400 0.72
MCTSwSavebridge 600 0.76
MCTSwSavebridge 800 0.8
MCTSwSavebridge 1000 0.76
MCTSwSavebridge 1200 0.76
MCTSwSavebridge 1400 0.76
MCTSwSavebridge 1600 0.72
MCTSwSavebridge 1800 0.7
MCTSwSavebridge 2000 0.68
MCTSwSavebridge 2200 0.66
MCTSwSavebridge 2400 0.68
MCTSwSavebridge 2600 0.66
MCTSwSavebridge 2800 0.64
MCTSwSavebridge 3000 0.66
MCTSwSavebridge 3200 0.66
MCTSwSavebridge 3400 0.64
MCTSwSavebridge 3600 0.66
MCTSwSavebridge 3800 0.64
MCTSwSavebridge 4000 0.64
MCTSwSavebridge 4200 0.66
MCTSwSavebridge 4400 0.62
MCTSwSavebridge 4600 0.6
MCTSwSavebridge 4800 0.58
MCTSwSavebridge 5000 0.58
MCTSwSavebridge 5200 0.6
MCTSwSavebridge 5400 0.62
MCTSwSavebridge 5600 0.64
MCTSwSavebridge 5800 0.6
MCTSwSavebridge 6000 0.6
MCTSwSavebridge 6200 0.6
MCTSwSavebridge 6400 0.62
MCTSwSavebridge 6600 0.58
MCTSwSavebridge 6800 0.6
MCTSwSavebridge 7000 0.58
MCTSwSavebridge 7200 0.6
MCTSwSavebridge 7400 0.6
MCTSwSavebridge 7600 0.62
MCTSwSavebridge 7800 0.58
MCTSwSavebridge 8000 0.62
MCTSwSavebridge 8200 0.62
MCTSwSavebridge 8400 0.62
MCTSwSavebridge 8600 0.6
MCTSwSavebridge 8800 0.58
MCTSwSavebridge 9000 0.62
MCTSwSavebridge 9200 0.58
MCTSwSavebridge 9400 0.6
MCTSwSavebridge 9600 0.58
MCTSwSavebridge 9800 0.58
MCTSwSavebridge 10000 0.62
MSTSwAMAF 200 0.62
MSTSwAMAF 400 0.64
MSTSwAMAF 600 0.64
MSTSwAMAF 800 0.64
MSTSwAMAF 1000 0.64
MSTSwAMAF 1200 0.6
MSTSwAMAF 1400 0.6
MSTSwAMAF 1600 0.6
MSTSwAMAF 1800 0.62
MSTSwAMAF 2000 0.58
MSTSwAMAF 2200 0.62
MSTSwAMAF 2400 0.6
MSTSwAMAF 2600 0.6
MSTSwAMAF 2800 0.62
MSTSwAMAF 3000 0.6
MSTSwAMAF 3200 0.6
MSTSwAMAF 3400 0.6
MSTSwAMAF 3600 0.58
MSTSwAMAF 3800 0.56
MSTSwAMAF 4000 0.56
MSTSwAMAF 4200 0.6
MSTSwAMAF 4400 0.58
MSTSwAMAF 4600 0.56
MSTSwAMAF 4800 0.54
MSTSwAMAF 5000 0.54
MSTSwAMAF 5200 0.54
MSTSwAMAF 5400 0.58
MSTSwAMAF 5600 0.56
MSTSwAMAF 5800 0.54
MSTSwAMAF 6000 0.58
MSTSwAMAF 6200 0.56
MSTSwAMAF 6400 0.58
MSTSwAMAF 6600 0.56
MSTSwAMAF 6800 0.54
MSTSwAMAF 7000 0.56
MSTSwAMAF 7200 0.58
MSTSwAMAF 7400 0.56
MSTSwAMAF 7600 0.56
MSTSwAMAF 7800 0.56
MSTSwAMAF 8000 0.58
MSTSwAMAF 8200 0.6
MSTSwAMAF 8400 0.58
MSTSwAMAF 8600 0.6
MSTSwAMAF 8800 0.62
MSTSwAMAF 9000 0.64
MSTSwAMAF 9200 0.64
MSTSwAMAF 9400 0.66
MSTSwAMAF 9600 0.66
MSTSwAMAF 9800 0.66
MSTSwAMAF 10000 0.66
MCTSwAMAFandSavebridge 200 0.62
MCTSwAMAFandSavebridge 400 0.64
MCTSwAMAFandSavebridge 600 0.64
MCTSwAMAFandSavebridge 800 0.66
MCTSwAMAFandSavebridge 1000 0.66
MCTSwAMAFandSavebridge 1200 0.68
MCTSwAMAFandSavebridge 1400 0.68
MCTSwAMAFandSavebridge 1600 0.68
MCTSwAMAFandSavebridge 1800 0.7
MCTSwAMAFandSavebridge 2000 0.7
MCTSwAMAFandSavebridge 2200 0.68
MCTSwAMAFandSavebridge 2400 0.68
MCTSwAMAFandSavebridge 2600 0.68
MCTSwAMAFandSavebridge 2800 0.66
MCTSwAMAFandSavebridge 3000 0.64
MCTSwAMAFandSavebridge 3200 0.66
MCTSwAMAFandSavebridge 3400 0.66
MCTSwAMAFandSavebridge 3600 0.68
MCTSwAMAFandSavebridge 3800 0.66
MCTSwAMAFandSavebridge 4000 0.68
MCTSwAMAFandSavebridge 4200 0.68
MCTSwAMAFandSavebridge 4400 0.68
MCTSwAMAFandSavebridge 4600 0.66
MCTSwAMAFandSavebridge 4800 0.68
MCTSwAMAFandSavebridge 5000 0.68
