Algorithm GameSize GamesWon GamesPlayed WinRatio MeanNumberOfWinningMoves
Heuristic 5 2 20 0.1 13
MCTS 5 17 20 0.85 10.882352941176471
MSTSwAMAF 5 15 20 0.75 9.866666666666667
MCTSwSavebridge 5 9 20 0.45 11.88888888888889
MCTSwAMAFandSavebridge 5 7 20 0.35 12.285714285714286
Heuristic 7 6 20 0.3 25.333333333333332
MCTS 7 3 20 0.15 22
MSTSwAMAF 7 14 20 0.7 16
MCTSwSavebridge 7 11 20 0.55 26.90909090909091
MCTSwAMAFandSavebridge 7 16 20 0.8 16.625
Heuristic 9 10 20 0.5 33.6
MCTS 9 4 20 0.2 42.25
MSTSwAMAF 9 15 20 0.75 24.133333333333333
MCTSwSavebridge 9 3 20 0.15 46
MCTSwAMAFandSavebridge 9 18 20 0.9 26.444444444444443
Heuristic 11 9 20 0.45 41.888888888888886
MCTS 11 4 20 0.2 67.5
MSTSwAMAF 11 9 10 0.9 30.22222222222222
MCTSwSavebridge 11 3 10 0.3 75.33333333333333
MCTSwAMAFandSavebridge 11 10 10 1 35.8
