Algorithm GameSize GamesWon GamesPlayed WinRatio MeanNumberOfWinningMoves
Heuristic 5 40 200 0,2 13
MCTS 5 95 200 0,475 12,578947368421053
MSTSwAMAF 5 125 200 0,625 11,84
MCTSwSavebridge 5 105 200 0,525 13,142857142857142
MCTSwAMAFandSavebridge 5 135 200 0,675 11,592592592592593
Heuristic 7 45 200 0,225 22,11111111111111
MCTS 7 90 200 0,45 24,166666666666668
MSTSwAMAF 7 145 200 0,725 17,482758620689655
MCTSwSavebridge 7 80 200 0,4 26,1875
MCTSwAMAFandSavebridge 7 140 200 0,7 18,428571428571427
Heuristic 9 100 175 0,5714285714285714 35,15
MCTS 9 50 175 0,2857142857142857 46
MSTSwAMAF 9 125 150 0,8333333333333334 23,56
MCTSwSavebridge 9 20 125 0,16 49,5
MCTSwAMAFandSavebridge 9 55 75 0,7333333333333333 21,636363636363637
