Algorithm Iterations WinRatio
MCTS 100 0,16
MCTS 200 0,16
MCTS 300 0,2
MCTS 400 0,12
MCTS 500 0,28
MCTS 600 0,28
MCTS 700 0,32
MCTS 800 0,16
MCTS 900 0,16
MCTS 1000 0,16
MCTS 1100 0,2
MCTS 1200 0,36
MCTS 1300 0,32
MCTS 1400 0,2
MCTS 1500 0,24
MCTS 1600 0,32
MCTS 1700 0,4
MCTS 1800 0,12
MCTS 1900 0,24
MCTS 2000 0,36
MCTS 2100 0,44
MCTS 2200 0,48
MCTS 2300 0,64
MCTS 2400 0,48
MCTS 2500 0,52
MCTS 2600 0,44
MCTS 2700 0,48
MCTS 2800 0,44
MCTS 2900 0,56
MCTS 3000 0,44
MCTS 3100 0,4
MCTS 3200 0,6
MCTS 3300 0,52
MCTS 3400 0,4
MCTS 3500 0,48
MCTS 3600 0,88
MCTS 3700 0,4
MCTS 3800 0,64
MCTS 3900 0,64
MCTS 4000 0,88
MCTS 4100 0,8
MCTS 4200 0,72
MCTS 4300 0,72
MCTS 4400 0,76
MCTS 4500 0,76
MCTS 4600 0,8
MCTS 4700 0,8
MCTS 4800 0,84
MCTS 4900 0,92
MCTS 5000 0,92
MCTSwSavebridge 100 0,96
MCTSwSavebridge 200 0,96
MCTSwSavebridge 300 0,84
MCTSwSavebridge 400 0,92
MCTSwSavebridge 500 0,92
MCTSwSavebridge 600 0,8
MCTSwSavebridge 700 0,88
MCTSwSavebridge 800 0,8
MCTSwSavebridge 900 0,92
MCTSwSavebridge 1000 0,92
MCTSwSavebridge 1100 0,76
MCTSwSavebridge 1200 0,8
MCTSwSavebridge 1300 0,84
MCTSwSavebridge 1400 0,76
MCTSwSavebridge 1500 0,8
MCTSwSavebridge 1600 0,76
MCTSwSavebridge 1700 0,88
MCTSwSavebridge 1800 0,88
MCTSwSavebridge 1900 0,84
MCTSwSavebridge 2000 0,92
MCTSwSavebridge 2100 0,88
MCTSwSavebridge 2200 0,92
MCTSwSavebridge 2300 0,92
MCTSwSavebridge 2400 0,92
MCTSwSavebridge 2500 0,92
MCTSwSavebridge 2600 0,92
MCTSwSavebridge 2700 0,84
MCTSwSavebridge 2800 0,8
MCTSwSavebridge 2900 0,88
MCTSwSavebridge 3000 0,72
MCTSwSavebridge 3100 0,84
MCTSwSavebridge 3200 0,88
MCTSwSavebridge 3300 0,88
MCTSwSavebridge 3400 0,84
MCTSwSavebridge 3500 0,88
MCTSwSavebridge 3600 0,88
MCTSwSavebridge 3700 0,88
MCTSwSavebridge 3800 0,84
MCTSwSavebridge 3900 0,72
MCTSwSavebridge 4000 0,88
MCTSwSavebridge 4100 0,8
MCTSwSavebridge 4200 0,84
MCTSwSavebridge 4300 0,84
MCTSwSavebridge 4400 0,8
MCTSwSavebridge 4500 0,84
MCTSwSavebridge 4600 0,84
MCTSwSavebridge 4700 0,88
MCTSwSavebridge 4800 0,88
MCTSwSavebridge 4900 0,76
MCTSwSavebridge 5000 0,84
MSTSwAMAF 100 0,36
MSTSwAMAF 200 0,32
MSTSwAMAF 300 0,4
MSTSwAMAF 400 0,56
MSTSwAMAF 500 0,64
MSTSwAMAF 600 0,64
MSTSwAMAF 700 0,64
MSTSwAMAF 800 0,52
MSTSwAMAF 900 0,84
MSTSwAMAF 1000 0,88
