Algorithm Iterations WinRatio
MCTS 100 0.02
MCTS 200 0.04
MCTS 300 0.06
MCTS 400 0.1
MCTS 500 0.12
MCTS 600 0.14
MCTS 700 0.14
MCTS 800 0.16
MCTS 900 0.18
MCTS 1000 0.18
MCTS 1100 0.2
MCTS 1200 0.22
MCTS 1300 0.24
MCTS 1400 0.26
MCTS 1500 0.3
MCTS 1600 0.28
MCTS 1700 0.32
MCTS 1800 0.34
MCTS 1900 0.32
MCTS 2000 0.32
MCTS 2100 0.36
MCTS 2200 0.38
MCTS 2300 0.36
MCTS 2400 0.36
MCTS 2500 0.38
MCTS 2600 0.4
MCTS 2700 0.42
MCTS 2800 0.42
MCTS 2900 0.44
MCTS 3000 0.46
MCTS 3100 0.44
MCTS 3200 0.44
MCTS 3300 0.4
MCTS 3400 0.44
MCTS 3500 0.42
MCTS 3600 0.44
MCTS 3700 0.44
MCTS 3800 0.46
MCTS 3900 0.48
MCTS 4000 0.48
MCTS 4100 0.48
MCTS 4200 0.5
MCTS 4300 0.5
MCTS 4400 0.52
MCTS 4500 0.52
MCTS 4600 0.52
MCTS 4700 0.52
MCTS 4800 0.5
MCTS 4900 0.5
MCTS 5000 0.5
MCTS 5100 0.52
MCTS 5200 0.52
MCTS 5300 0.54
MCTS 5400 0.56
MCTS 5500 0.54
MCTS 5600 0.56
MCTS 5700 0.54
MCTS 5800 0.52
MCTS 5900 0.52
MCTS 6000 0.54
MCTS 6100 0.52
MCTS 6200 0.52
MCTS 6300 0.5
MCTS 6400 0.5
MCTS 6500 0.5
MCTS 6600 0.48
MCTS 6700 0.48
MCTS 6800 0.5
MCTS 6900 0.52
MCTS 7000 0.54
MCTSwSavebridge 100 0.5
MCTSwSavebridge 200 0.5
MCTSwSavebridge 300 0.5
MCTSwSavebridge 400 0.5
MCTSwSavebridge 500 0.5
MCTSwSavebridge 600 0.5
MCTSwSavebridge 700 0.5
MCTSwSavebridge 800 0.5
MCTSwSavebridge 900 0.5
MCTSwSavebridge 1000 0.5
MCTSwSavebridge 1100 0.5
MCTSwSavebridge 1200 0.5
MCTSwSavebridge 1300 0.5
MCTSwSavebridge 1400 0.5
MCTSwSavebridge 1500 0.5
MCTSwSavebridge 1600 0.5
MCTSwSavebridge 1700 0.5
MCTSwSavebridge 1800 0.5
MCTSwSavebridge 1900 0.5
MCTSwSavebridge 2000 0.5
MCTSwSavebridge 2100 0.5
MCTSwSavebridge 2200 0.5
MCTSwSavebridge 2300 0.5
MCTSwSavebridge 2400 0.5
MCTSwSavebridge 2500 0.5
MCTSwSavebridge 2600 0.5
MCTSwSavebridge 2700 0.5
MCTSwSavebridge 2800 0.5
MCTSwSavebridge 2900 0.5
MCTSwSavebridge 3000 0.5
MCTSwSavebridge 3100 0.5
MCTSwSavebridge 3200 0.5
MCTSwSavebridge 3300 0.5
MCTSwSavebridge 3400 0.5
MCTSwSavebridge 3500 0.5
MCTSwSavebridge 3600 0.5
MCTSwSavebridge 3700 0.5
MCTSwSavebridge 3800 0.5
MCTSwSavebridge 3900 0.5
MCTSwSavebridge 4000 0.5
MCTSwSavebridge 4100 0.5
MCTSwSavebridge 4200 0.5
MCTSwSavebridge 4300 0.5
MCTSwSavebridge 4400 0.5
MCTSwSavebridge 4500 0.5
MCTSwSavebridge 4600 0.5
MCTSwSavebridge 4700 0.5
MCTSwSavebridge 4800 0.5
MCTSwSavebridge 4900 0.5
MCTSwSavebridge 5000 0.5
MCTSwSavebridge 5100 0.5
MCTSwSavebridge 5200 0.5
MCTSwSavebridge 5300 0.5
MCTSwSavebridge 5400 0.5
MCTSwSavebridge 5500 0.5
MCTSwSavebridge 5600 0.5
MCTSwSavebridge 5700 0.5
MCTSwSavebridge 5800 0.5
MCTSwSavebridge 5900 0.5
MCTSwSavebridge 6000 0.5
MCTSwSavebridge 6100 0.5
MCTSwSavebridge 6200 0.5
MCTSwSavebridge 6300 0.5
MCTSwSavebridge 6400 0.5
MCTSwSavebridge 6500 0.5
MCTSwSavebridge 6600 0.5
MCTSwSavebridge 6700 0.5
MCTSwSavebridge 6800 0.5
MCTSwSavebridge 6900 0.5
MCTSwSavebridge 7000 0.5
MSTSwAMAF 100 0.12
MSTSwAMAF 200 0.16
MSTSwAMAF 300 0.24
MSTSwAMAF 400 0.26
MSTSwAMAF 500 0.28
MSTSwAMAF 600 0.3
MSTSwAMAF 700 0.32
MSTSwAMAF 800 0.34
MSTSwAMAF 900 0.34
MSTSwAMAF 1000 0.32
MSTSwAMAF 1100 0.36
MSTSwAMAF 1200 0.38
MSTSwAMAF 1300 0.4
MSTSwAMAF 1400 0.4
MSTSwAMAF 1500 0.4
MSTSwAMAF 1600 0.42
MSTSwAMAF 1700 0.42
MSTSwAMAF 1800 0.4
MSTSwAMAF 1900 0.42
MSTSwAMAF 2000 0.44
MSTSwAMAF 2100 0.44
MSTSwAMAF 2200 0.44
MSTSwAMAF 2300 0.44
MSTSwAMAF 2400 0.46
MSTSwAMAF 2500 0.48
MSTSwAMAF 2600 0.46
MSTSwAMAF 2700 0.48
MSTSwAMAF 2800 0.48
MSTSwAMAF 2900 0.48
MSTSwAMAF 3000 0.48
MSTSwAMAF 3100 0.5
MSTSwAMAF 3200 0.5
MSTSwAMAF 3300 0.5
MSTSwAMAF 3400 0.5
MSTSwAMAF 3500 0.5
MSTSwAMAF 3600 0.52
MSTSwAMAF 3700 0.5
MSTSwAMAF 3800 0.52
MSTSwAMAF 3900 0.52
MSTSwAMAF 4000 0.52
MSTSwAMAF 4100 0.5
MSTSwAMAF 4200 0.5
MSTSwAMAF 4300 0.52
MSTSwAMAF 4400 0.54
MSTSwAMAF 4500 0.54
MSTSwAMAF 4600 0.52
MSTSwAMAF 4700 0.52
MSTSwAMAF 4800 0.52
MSTSwAMAF 4900 0.54
MSTSwAMAF 5000 0.54
MSTSwAMAF 5100 0.54
MSTSwAMAF 5200 0.54
MSTSwAMAF 5300 0.52
MSTSwAMAF 5400 0.54
MSTSwAMAF 5500 0.54
MSTSwAMAF 5600 0.54
MSTSwAMAF 5700 0.54
MSTSwAMAF 5800 0.56
MSTSwAMAF 5900 0.54
MSTSwAMAF 6000 0.554
MSTSwAMAF 6100 0.52
MSTSwAMAF 6200 0.54
MSTSwAMAF 6300 0.56
MSTSwAMAF 6400 0.58
MSTSwAMAF 6500 0.58
MSTSwAMAF 6600 0.56
MSTSwAMAF 6700 0.54
MSTSwAMAF 6800 0.56
MSTSwAMAF 6900 0.56
MSTSwAMAF 7000 0.56
MCTSwAMAFandSavebridge 100 0.14
MCTSwAMAFandSavebridge 200 0.16
MCTSwAMAFandSavebridge 300 0.18
MCTSwAMAFandSavebridge 400 0.18
MCTSwAMAFandSavebridge 500 0.22
MCTSwAMAFandSavebridge 600 0.26
MCTSwAMAFandSavebridge 700 0.3
MCTSwAMAFandSavebridge 800 0.38
MCTSwAMAFandSavebridge 900 0.4
MCTSwAMAFandSavebridge 1000 0.42
MCTSwAMAFandSavebridge 1100 0.44
MCTSwAMAFandSavebridge 1200 0.46
MCTSwAMAFandSavebridge 1300 0.48
MCTSwAMAFandSavebridge 1400 0.5
MCTSwAMAFandSavebridge 1500 0.5
MCTSwAMAFandSavebridge 1600 0.48
MCTSwAMAFandSavebridge 1700 0.48
MCTSwAMAFandSavebridge 1800 0.5
MCTSwAMAFandSavebridge 1900 0.5
MCTSwAMAFandSavebridge 2000 0.5
MCTSwAMAFandSavebridge 2100 0.52
MCTSwAMAFandSavebridge 2200 0.52
MCTSwAMAFandSavebridge 2300 0.52
MCTSwAMAFandSavebridge 2400 0.5
MCTSwAMAFandSavebridge 2500 0.5
